RegionID,SizeRank,Metro,RegionType,State,Date,Rent,CPI,Year,Income,Month,Year_Num,Month_Num,Quarter,Rent_Lag_1,Rent_Lag_3,Rent_Lag_12,Rent_Roll_3,Rent_Roll_6,Rent_Roll_12,Rent_Growth_MoM,Rent_Growth_YoY
395056,17,"San Diego, CA",msa,CA,2023-05-31,2829.4037745486794,,2023,82690.0,5,8,101,2,2796.894691853224,2743.990801872999,2669.7548921061834,2798.159718262643,2769.3029201298928,2762.3923584920008,0.011623277340454763,0.05979907852759769
395056,17,"San Diego, CA",msa,CA,2023-06-30,2849.8663580859934,,2023,82690.0,6,8,102,2,2829.4037745486794,2768.180688386024,2715.1650655486583,2825.3882748292986,2787.3764534406996,2773.617466203445,0.007232118554933997,0.04961071952732854
395056,17,"San Diego, CA",msa,CA,2023-07-31,2866.814206709537,,2023,82690.0,7,8,103,3,2849.8663580859934,2796.894691853224,2746.78287473046,2848.694779781403,2809.1917535760763,2783.620077201702,0.005946892413202676,0.04369887881686152
395056,17,"San Diego, CA",msa,CA,2023-08-31,2873.174918198192,,2023,82690.0,8,8,104,3,2866.814206709537,2829.4037745486794,2772.688556303669,2863.2851609979075,2830.722439630275,2791.9939406929116,0.0022187386520438057,0.03624148902914781
395056,17,"San Diego, CA",msa,CA,2023-09-30,2870.25592719264,,2023,82690.0,9,8,105,3,2873.174918198192,2849.8663580859934,2776.8601256935654,2870.081684033456,2847.7349794313777,2799.7769241511683,-0.0010159461531783487,0.03363359955905132
395056,17,"San Diego, CA",msa,CA,2023-10-31,2856.837805610864,,2023,82690.0,10,8,106,4,2870.25592719264,2866.814206709537,2770.361229122207,2866.7562170005654,2857.7254983909843,2806.9833055252225,-0.0046748868122362675,0.031214910019534692
395056,17,"San Diego, CA",msa,CA,2023-11-30,2833.7489275169078,,2023,82690.0,11,8,107,4,2856.837805610864,2873.174918198192,2751.032929726092,2853.6142201068037,2858.4496905523556,2813.876305341124,-0.008081970228974611,0.0300672510666935
395056,17,"San Diego, CA",msa,CA,2023-12-31,2815.342204369884,,2023,82690.0,12,8,108,4,2833.7489275169078,2870.25592719264,2741.4251582211514,2835.3096458325513,2852.695664933004,2820.0360591868516,-0.006495537755051961,0.02696299985686834
395057,12,"San Francisco, CA",msa,CA,2016-01-31,2425.891922915276,,2016,75380.0,1,1,13,1,2413.331152808162,2417.4079273291563,2206.8829113629417,2419.1877350960153,2414.8780370904547,2356.2926444958825,0.005204743697315717,0.09923907173538149
395057,12,"San Francisco, CA",msa,CA,2016-02-29,2441.5153971574323,,2016,75380.0,2,1,14,1,2425.891922915276,2418.340129564609,2216.399119967524,2426.9128242936235,2422.016458653959,2375.052334261708,0.006440301026840789,0.10156847436088445
